intensity,name,signal,start_date,start_time,end_date,end_time,duration
強烈熱帶風暴,溫比亞,1,2013/07/02,05:10,2013/07/02,09:40,04 30
熱帶風暴,西馬侖,1,2013/07/17,23:20,2013/07/18,15:40,16 20
強烈熱帶風暴,飛燕,1,2013/08/01,09:40,2013/08/01,16:10,06 30
強烈熱帶風暴,飛燕,3,2013/08/01,16:10,2013/08/02,22:15,30 05
超強颱風,尤特,1,2013/08/12,16:05,2013/08/13,04:40,12 35
超強颱風,尤特,3,2013/08/13,04:40,2013/08/14,01:40,21 00
超強颱風,尤特,8 東南,2013/08/14,01:40,2013/08/14,13:40,12 00
超強颱風,尤特,3,2013/08/14,13:40,2013/08/15,01:40,12 00
超強颱風,尤特,1,2013/08/15,01:40,2013/08/15,16:40,15 00
超強颱風,天兔,1,2013/09/21,10:40,2013/09/21,23:40,13 00
超強颱風,天兔,3,2013/09/21,23:40,2013/09/22,18:40,19 00
超強颱風,天兔,8 西北,2013/09/22,18:40,2013/09/23,00:25,05 45
超強颱風,天兔,8 西南,2013/09/23,00:25,2013/09/23,09:20,08 55
超強颱風,天兔,3,2013/09/23,09:20,2013/09/23,10:25,01 05
強颱風,羅莎,1,2013/11/01,15:20,2013/11/03,22:50,55 30
熱帶風暴,海貝思,1,2014/06/14,17:40,2014/06/15,13:20,19 40
超強颱風,威馬遜,1,2014/07/16,23:40,2014/07/17,16:15,16 35
超強颱風,威馬遜,3,2014/07/17,16:15,2014/07/18,19:40,27 25
超強颱風,威馬遜,1,2014/07/18,19:40,2014/07/19,03:40,08 00
熱帶低氣壓,無名,1,2014/09/07,09:40,2014/09/08,09:10,23 30
颱風,海鷗,1,2014/09/14,23:35,2014/09/15,12:40,13 05
颱風,海鷗,3,2014/09/15,12:40,2014/09/15,22:30,09 50
颱風,海鷗,8 東南,2014/09/15,22:30,2014/09/16,10:40,12 10
颱風,海鷗,3,2014/09/16,10:40,2014/09/16,20:40,10 00
颱風,海鷗,1,2014/09/16,20:40,2014/09/17,02:10,05 30
熱帶風暴,鯨魚,1,2015/06/21,21:40,2015/06/23,07:40,34 00
颱風,蓮花,1,2015/07/08,07:40,2015/07/09,08:40,25 00
颱風,蓮花,3,2015/07/09,08:40,2015/07/09,16:40,08 00
颱風,蓮花,8 西北,2015/07/09,16:40,2015/07/09,22:10,05 30
颱風,蓮花,3,2015/07/09,22:10,2015/07/10,05:50,07 40
強颱風,彩虹,1,2015/10/02,20:40,2015/10/03,10:20,13 40
強颱風,彩虹,3,2015/10/03,10:20,2015/10/04,20:40,34 20
強颱風,彩虹,1,2015/10/04,20:40,2015/10/05,05:20,08 40
熱帶低氣壓,無名,1,2016/05/26,21:40,2016/05/27,05:40,08 00
熱帶低氣壓,無名,3,2016/05/27,05:40,2016/05/27,13:40,08 00
熱帶低氣壓,無名,1,2016/05/27,13:40,2016/05/27,22:50,09 10
強烈熱帶風暴,銀河,1,2016/07/26,08:40,2016/07/26,23:20,14 40
颱風,妮妲,1,2016/07/31,22:10,2016/08/01,11:40,13 30
颱風,妮妲,3,2016/08/01,11:40,2016/08/01,20:40,09 00
颱風,妮妲,8 西北,2016/08/01,20:40,2016/08/02,04:40,08 00
颱風,妮妲,8 西南,2016/08/02,04:40,2016/08/02,12:40,08 00
颱風,妮妲,3,2016/08/02,12:40,2016/08/02,17:10,04 30
熱帶風暴,電母,1,2016/08/17,11:30,2016/08/17,22:15,10 45
熱帶風暴,電母,3,2016/08/17,22:15,2016/08/18,11:15,13 00
熱帶風暴,電母,1,2016/08/18,11:15,2016/08/18,13:15,02 00
超強颱風,莫蘭蒂,1,2016/09/14,10:10,2016/09/15,04:20,18 10
強颱風,鮎魚,1,2016/09/28,08:40,2016/09/28,23:10,14 30
熱帶風暴,艾利,1,2016/10/06,20:40,2016/10/09,03:45,55 05
超強颱風,莎莉嘉,1,2016/10/16,21:20,2016/10/17,13:40,16 20
超強颱風,莎莉嘉,3,2016/10/17,13:40,2016/10/18,22:10,32 30
超強颱風,海馬,1,2016/10/20,08:20,2016/10/20,20:40,12 20
超強颱風,海馬,3,2016/10/20,20:40,2016/10/21,06:10,09 30
超強颱風,海馬,8 西北,2016/10/21,06:10,2016/10/21,14:15,08 05
超強颱風,海馬,8 西南,2016/10/21,14:15,2016/10/21,17:20,03 05
超強颱風,海馬,3,2016/10/21,17:20,2016/10/21,22:10,04 50
強烈熱帶風暴,苗柏,1,2017/06/11,19:40,2017/06/12,10:40,15 00
強烈熱帶風暴,苗柏,3,2017/06/12,10:40,2017/06/12,17:20,06 40
強烈熱帶風暴,苗柏,8 東北,2017/06/12,17:20,2017/06/12,20:20,03 00
強烈熱帶風暴,苗柏,8 西北,2017/06/12,20:20,2017/06/13,00:10,03 50
強烈熱帶風暴,苗柏,8 西南,2017/06/13,00:10,2017/06/13,04:40,04 30
強烈熱帶風暴,苗柏,3,2017/06/13,04:40,2017/06/13,11:10,06 30
熱帶風暴,洛克,1,2017/07/22,15:40,2017/07/23,03:40,12 00
熱帶風暴,洛克,3,2017/07/23,03:40,2017/07/23,09:20,05 40
熱帶風暴,洛克,8 西北,2017/07/23,09:20,2017/07/23,13:20,04 00
熱帶風暴,洛克,3,2017/07/23,13:20,2017/07/23,15:10,01 50
熱帶風暴,洛克,1,2017/07/23,15:10,2017/07/23,19:40,04 30
